action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,variance
drop,540.5137138704681,4000.0,0.15470734835575253,1433.9351725441607,26390.230729714684,35.42689636089072,39148004603.351776,0.243613041002646,butter,-0.6443273689147566,4094.0,2042.402,0.008002000500125032,2014.0,52.0,.\data\data_butter_shelf_wood_drop141.csv,1590.75,2496.75,1141.9290354822588,wood,0.055808763637457987,934.1397612095881,1274.2396454609816,1623686.6740645282
drop,305.5367074822902,12000.0,0.14755329063629882,4210.883739440489,27619.29557405807,60.44162585421392,118828434102.78845,0.12456351632407296,butter,-0.8434907622978494,4094.0,2037.9985833333333,-0.00883406950579215,2030.0,49.0,.\data\data_butter_shelf_wood_drop146.csv,1221.75,2805.0,511.5814030994834,wood,0.05002079452780288,657.3847387377148,1288.7440457732005,1660861.2155158771
drop,498.17303009517974,11500.0,0.12684509120984477,4149.508573403177,32247.459368495925,60.297921463049036,113050061388.41008,0.22289280611320048,butter,-0.7651186143316191,4094.0,2045.571652173913,-0.01939299069484303,2051.0,49.0,.\data\data_butter_shelf_wood_drop151.csv,1316.0,2763.0,991.1319770474701,wood,0.016680778229316975,919.1912364986721,1246.5952897802317,1553999.81650226
drop,532.3099035961204,10500.0,0.14692792728582788,3656.9648276053836,27867.638576562287,57.176789028022384,105854815889.98668,0.24211182956399974,butter,-0.9285372658308719,4094.0,2047.6571428571428,0.004190875321459187,2030.0,50.0,.\data\data_butter_shelf_wood_drop156.csv,1203.0,2880.0,1084.555322795658,wood,0.04185369370412583,960.4608003304371,1331.043562761775,1771676.9659695597
drop,270.1588453348022,12000.0,0.16163965250734652,4776.090194985202,25270.78273522249,65.75260182131373,112003215083.33865,0.09615758619136018,butter,0.17611488134911069,4094.0,2042.7206666666666,-0.006667222268522377,2035.0,46.0,.\data\data_butter_shelf_wood_drop16.csv,1642.0,2448.0,457.42376270621565,wood,0.03911714728600586,573.2390554242812,1021.3005951800021,1043054.9057150267
drop,512.6382419323002,7500.0,0.15901316146343406,2475.4443862513385,25619.11577266103,46.83612982030259,76950221453.44075,0.22984056344185588,butter,-1.2100477929402789,4094.0,2037.4314666666667,-0.02853713828510468,2022.0,50.0,.\data\data_butter_shelf_wood_drop161.csv,767.75,3190.25,1047.72060783791,wood,0.047718853704672846,920.6051576144047,1431.1952372559613,2048319.8071441476
drop,460.43498868578496,11000.0,0.13920288465118402,3771.7939783903753,29400.767852697307,57.59982517903699,111449199653.47636,0.2001743332637683,butter,-0.9996758049387946,4094.0,2046.7079090909092,-0.0022729339030820982,2035.0,48.0,.\data\data_butter_shelf_wood_drop166.csv,1121.5,2940.0,898.9274677331395,wood,0.04375015290054794,839.8769631314611,1354.3723099940678,1834324.3540786672
drop,505.92494230239765,6500.0,0.16111752589315115,2237.5018225248336,25440.110977594264,44.30671870298117,65760893254.61656,0.22958292161892987,butter,-0.9561712425800253,4094.0,2050.0544615384615,-0.002923526696414833,2031.0,48.0,.\data\data_butter_shelf_wood_drop171.csv,1194.75,2910.0,1079.6677945247616,wood,0.045997532033571466,919.4932865251159,1347.0729481845108,1814605.5277305099
drop,508.2651297194675,9500.0,0.14028781842028795,3383.4810452435263,29115.69663433941,54.62238402196277,93829061077.38641,0.22662604707229725,butter,-0.7263792265884725,4094.0,2042.7187368421053,-0.008106116433308769,2027.0,47.0,.\data\data_butter_shelf_wood_drop176.csv,1392.75,2639.25,991.3702378446643,wood,0.059441853922772896,929.2566217177014,1273.9099646390412,1622846.598006643
drop,515.788769217389,14000.0,0.16603603018727267,5461.639134273996,24523.23427062929,70.55051880251628,131351018801.04108,0.22818350448756045,butter,0.06553414627073328,4094.0,2036.1610714285714,0.007214801057218373,2032.0,48.0,.\data\data_butter_shelf_wood_drop181.csv,1720.0,2346.25,1042.708184545065,wood,0.03904691549776456,941.3450537057051,1065.2209495638456,1134695.6713897006
drop,690.1434851202288,14000.0,0.10167838685628662,4912.284974937115,40092.878427869706,65.79249589312569,138989243133.96613,0.3127003709466361,butter,-0.9740236898367662,4094.0,2038.5807857142856,-0.013715265376098292,2028.0,48.0,.\data\data_butter_shelf_wood_drop186.csv,1134.75,2915.25,1541.2083988001714,wood,0.04805440815382483,1086.1025294056133,1316.265659082473,1732555.285279817
drop,438.7122303163164,11000.0,0.11908396884415617,3560.590216788784,34753.27942197973,54.80350072069784,116928301251.02986,0.19340409268491374,butter,-1.2698704170081672,4095.0,2069.6554545454546,0.024456768797163377,2040.0,47.0,.\data\data_butter_shelf_wood_drop191.csv,662.0,3642.5,827.1223413924741,wood,0.026658517243755432,844.5745703903142,1474.7364758690494,2174847.6732586636
drop,465.85400352004496,17000.0,0.12477542382719181,6170.106506224714,32706.104170784518,73.83101635621524,166118782684.2536,0.20096711242863818,butter,-0.5639036738847967,4094.0,2040.6990588235294,0.002235425613271369,2030.0,47.0,.\data\data_butter_shelf_wood_drop196.csv,1501.5,2545.0,854.6053405481708,wood,0.06038618989059568,860.7744178154387,1227.581495430837,1506956.3279242103
drop,477.3695460963915,11000.0,0.16069445200954716,4047.6768040242555,25296.918973044427,60.28078002125514,105988599814.09546,0.21667548964026517,butter,-0.48322823947637605,4094.0,2032.9068181818182,-0.0017274297663423949,2023.0,47.0,.\data\data_butter_shelf_wood_drop201.csv,1505.75,2520.25,892.5649881839665,wood,0.06321012166028527,885.1629649176932,1195.815714774277,1429975.223701115
drop,423.9709106625255,16000.0,0.12719807697524818,5775.962907218233,32165.52422166664,71.51968828765061,157634557041.7991,0.17642772785981212,butter,-0.6208483761584933,4094.0,2045.952125,0.0009375585974123383,2031.0,46.0,.\data\data_butter_shelf_wood_drop206.csv,1508.75,2562.25,764.2794650668667,wood,0.05022047290223177,773.539033979635,1243.511027871403,1546319.6764377933
drop,426.85694400334654,20500.0,0.11124930658644647,7017.573721699132,36897.112385990346,77.70297405990685,208674579925.2564,0.18410851736757244,butter,-1.0152618695986702,4094.0,2052.5893170731706,-0.0010244402165959315,2032.0,49.0,.\data\data_butter_shelf_wood_drop21.csv,1085.0,3031.0,752.121744220076,wood,0.034503641220332275,837.8281745784311,1349.2590473842095,1820499.9769481441
drop,278.08607762568585,15000.0,0.16241542928386782,5910.633170836706,25086.834541717868,73.06192267331008,140072968057.62244,0.0987033170786507,butter,0.13473092068577497,4094.0,2037.5161333333333,-0.004333622241482766,2034.0,48.0,.\data\data_butter_shelf_wood_drop211.csv,1687.0,2396.0,483.935475269964,wood,0.041522430918106736,581.5258405552239,1038.5244775541244,1078533.090479067
drop,352.34614471448344,9000.0,0.1516860077271859,3123.9583786696494,26941.811618628675,52.04130793852267,90058035050.77962,0.13970034010832594,butter,-0.8892439653933351,4094.0,2043.802,-0.006778530947883098,2036.5,50.0,.\data\data_butter_shelf_wood_drop216.csv,1218.75,2815.25,652.0773161519662,wood,0.044362632405357046,692.1987143813102,1317.300547074113,1735280.7313217572
drop,303.8696672129661,14500.0,0.15643772775855874,5369.012395918174,26043.898987218283,69.01242340686322,139743794524.423,0.12100007671502558,butter,-0.3804375639406383,4094.0,2037.405172413793,0.0028277812262914683,2033.0,48.0,.\data\data_butter_shelf_wood_drop221.csv,1590.0,2457.0,493.035443387119,wood,0.06090119943792847,645.808189195099,1176.2962380065649,1383672.8395483969
drop,428.99460773370566,15500.0,0.15689949085868338,5777.029330945195,25982.414848106306,72.37339727194545,149449982402.8017,0.17677729559489233,butter,-0.3973264055774437,4094.0,2038.5768387096775,-0.0034195754564810632,2031.5,49.0,.\data\data_butter_shelf_wood_drop226.csv,1549.0,2474.25,789.5755386401754,wood,0.07008934820401255,776.8296142628998,1172.704432227436,1375235.6853658732
drop,562.5923168710406,14500.0,0.11951411151906242,5276.801831592399,34220.881297694716,68.34244131614417,142072226911.1223,0.2568096204427434,butter,-0.580646824221771,4094.0,2045.221172413793,0.004827919166839092,2032.0,49.0,.\data\data_butter_shelf_wood_drop231.csv,1509.75,2560.25,1181.905944007723,wood,0.05599568731107511,993.8945645367028,1230.6322373256312,1514455.7035450889
drop,437.8283790833607,14000.0,0.14802763944905623,4935.662685672149,27620.964610135015,66.4447061967575,139770168396.54962,0.17930242305506958,butter,-0.7959006915548317,4094.0,2044.625142857143,-0.005000357168369169,2032.0,48.0,.\data\data_butter_shelf_wood_drop236.csv,1348.75,2717.0,823.4537923153836,wood,0.047644493153571534,780.6599765449275,1295.6263099995929,1678647.5351631613
drop,462.0236652596023,12000.0,0.13289434484882326,4068.3043668402674,30707.895712406636,59.61406280362856,121525037562.42116,0.20057318825798634,butter,-1.0345527834740158,4094.0,2040.7929166666668,0.007250604217018085,2022.5,47.0,.\data\data_butter_shelf_wood_drop241.csv,1037.0,2993.25,855.690718213631,wood,0.04859518592399843,853.5707401396074,1370.3480048893641,1877853.6545042607
drop,390.0088079920428,17000.0,0.1234675889766197,5876.390505547356,33084.42838479718,71.30136102750316,170528800999.59756,0.1602652847800989,butter,-0.9103637849280974,4094.0,2042.667588235294,0.0019412906641567151,2029.0,47.0,.\data\data_butter_shelf_wood_drop246.csv,1191.75,2880.25,718.7389718856605,wood,0.04859583667818907,749.9595965192153,1323.556550414817,1751801.9421459695
drop,412.1477138343936,18500.0,0.12468657678838309,6802.418881506968,32744.626378190864,77.61514294015305,179744414275.03436,0.17398351970823064,butter,-0.4656487062198309,4094.0,2041.6283783783783,0.00010811395210551922,2032.0,49.0,.\data\data_butter_shelf_wood_drop251.csv,1539.75,2499.0,742.0819370878824,wood,0.06319604145549287,791.3310717372581,1199.3803120493724,1438513.1329316497
drop,430.66822721672764,13500.0,0.13465395966450164,4775.84559889676,30202.17015041677,64.51943819914581,132583738150.11983,0.18500171089908288,butter,-0.6917055338090217,4094.0,2033.722148148148,-0.006148603600266686,2027.0,48.0,.\data\data_butter_shelf_wood_drop256.csv,1443.75,2578.25,742.8529106798993,wood,0.05731851591616134,844.1395406250309,1272.0530958478314,1618119.0786560522
drop,344.4892804855026,7000.0,0.1473018687533894,2159.587711683399,27843.89957273514,42.833888074227346,75057162667.10214,0.13184684207908695,butter,-1.4637422174539005,4094.0,2051.3151428571427,-0.05443634804972139,2038.0,49.0,.\data\data_butter_shelf_wood_drop26.csv,134.5,3926.25,601.256783776064,wood,0.028946688216546643,662.5669313598004,1555.911273300504,2420859.890383596
drop,248.75095167976343,13500.0,0.17258330803123212,4762.310485108541,23615.100776644456,64.6827935696657,133529447446.95071,0.08759975696667888,butter,-0.8989254869966699,4094.0,2038.088,0.007852433513593599,2032.0,46.0,.\data\data_butter_shelf_wood_drop261.csv,1167.0,2866.25,399.20011850096284,wood,0.04194282519913321,558.7215211188147,1275.2904901699126,1626365.8343178157
drop,236.9351567785462,12500.0,0.17169116086527958,4455.527833192919,23771.410507451958,62.540241461797464,123268207616.64183,0.07802572249574612,butter,-0.7728976845949731,4094.0,2040.99704,-0.00920073605888471,2039.0,48.0,.\data\data_butter_shelf_wood_drop266.csv,1319.0,2755.0,379.139337705967,wood,0.03659595502852222,526.5693663298713,1255.8010990054217,1577036.400263225
drop,338.52564557234484,7500.0,0.16065549601753246,2662.301290925007,25290.78726214664,48.33287337303682,73360342044.44331,0.1298939718650671,butter,-0.8703765440148241,4094.0,2032.0937333333334,0.0061341512201626884,2025.0,47.0,.\data\data_butter_shelf_wood_drop271.csv,1235.0,2855.0,642.495334577446,wood,0.04237115747068928,654.568255965343,1269.1328205364769,1610698.116162873
