action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,v2_N,v2_count,v2_kurtosis,v2_max,v2_maximum,v2_mean,v2_mean_diff,v2_median,v2_minimum,v2_percentile_25,v2_percentile_75,v2_skewness,v2_standard_dev,v2_variance,variance
drop,738.9780155514339,120.0,0.5039118247779677,50.42200130182923,1.0524219562063186,7.086926434480621,17.16320306362291,0.2482593956072779,butter,0.17091316837939008,0.51,0.26958333333333334,0.00016806722689075644,0.27,0.0,labeled_acce_data\data_butter_shelf_wood_drop10001.csv,0.2175,0.31999999999999995,1393.4426229508197,wood,-0.00809994201682952,1118.8658545866847,0.09757906368411094,20,29.0,20.693390620611456,5.163417667950419,4.109896904477143,0.06292623330382754,0.0004070908445563681,0.0,-1.330487143581603,0.0,0.0,3.9980291295819432,0.8422405083483604,0.7093690739029045,0.009521673669467778
drop,738.9780155514339,120.0,0.5039118247779677,50.42200130182923,1.0524219562063186,7.086926434480621,17.16320306362291,0.2482593956072779,butter,0.17091316837939008,0.51,0.26958333333333334,0.00016806722689075644,0.27,0.0,labeled_acce_data\data_butter_shelf_wood_drop10002.csv,0.2175,0.31999999999999995,1393.4426229508197,wood,-0.00809994201682952,1118.8658545866847,0.09757906368411094,20,29.0,20.693390620611456,5.163417667950419,4.109896904477143,0.06292623330382754,0.0004070908445563681,0.0,-1.330487143581603,0.0,0.0,3.9980291295819432,0.8422405083483604,0.7093690739029045,0.009521673669467778
drop,1155.9306174164865,80.0,0.42839871375316857,34.416478427291196,4.900836800459278,5.968464168351637,168.26050861356856,0.5269625224395368,butter,3.754684489531391,2.5,1.076,-0.0003797468354430383,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10006.csv,0.9474999999999999,1.1324999999999998,3292.682926829268,wood,0.792849223064483,1462.571078041849,0.3859809138063499,20,19.0,1.405367130037821,7.709372729924255,4.497101233112249,-0.4273136825404609,0.06385149482764459,0.0,-4.876244584051391,-1.0356930885754523,0.0,-0.2894985724522402,2.180817767075258,4.755966133191116,0.14898126582278493
drop,1155.9306174164865,80.0,0.42839871375316857,34.416478427291196,4.900836800459278,5.968464168351637,168.26050861356856,0.5269625224395368,butter,3.754684489531391,2.5,1.076,-0.0003797468354430383,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10007.csv,0.9474999999999999,1.1324999999999998,3292.682926829268,wood,0.792849223064483,1462.571078041849,0.3859809138063499,20,19.0,1.405367130037821,7.709372729924255,4.497101233112249,-0.4273136825404609,0.06385149482764459,0.0,-4.876244584051391,-1.0356930885754523,0.0,-0.2894985724522402,2.180817767075258,4.755966133191116,0.14898126582278493
drop,609.9228977869251,80.0,0.549737942896737,32.840761135388824,2.1225190683266164,5.788181094599783,54.53120528533199,0.23130664736734,butter,1.8277742740205212,1.16,0.5980000000000001,0.00025316455696202555,0.6000000000000001,0.0,labeled_acce_data\data_butter_shelf_wood_drop10011.csv,0.54,0.66,1219.5121951219512,wood,-0.33028597553272326,1003.185438766841,0.20420515868959596,12,19.0,13.119271951759789,7.307029563370417,7.293587549501026,0.4084192202321984,0.005446234917895075,0.0,-1.340133359462194,0.0,0.0,3.4594990864861668,1.8038060369357933,3.2537162188860127,0.04169974683544307
drop,609.9228977869251,80.0,0.549737942896737,32.840761135388824,2.1225190683266164,5.788181094599783,54.53120528533199,0.23130664736734,butter,1.8277742740205212,1.16,0.5980000000000001,0.00025316455696202555,0.6000000000000001,0.0,labeled_acce_data\data_butter_shelf_wood_drop10012.csv,0.54,0.66,1219.5121951219512,wood,-0.33028597553272326,1003.185438766841,0.20420515868959596,12,19.0,13.119271951759789,7.307029563370417,7.293587549501026,0.4084192202321984,0.005446234917895075,0.0,-1.340133359462194,0.0,0.0,3.4594990864861668,1.8038060369357933,3.2537162188860127,0.04169974683544307
drop,569.477264635631,80.0,0.5494171092721926,32.4444009001086,0.8550081304213075,5.739778495267191,8.887229319202214,0.23112556708836876,butter,2.356757653562871,0.49,0.24074999999999996,-0.00012658227848101277,0.24,0.0,labeled_acce_data\data_butter_shelf_wood_drop10016.csv,0.22,0.27,1097.560975609756,wood,-0.18123049646345368,923.9965533027464,0.08604936763792094,14,19.0,9.500216906514394,2.8810600509120583,1.4800026393862935,-0.07020702992660127,-0.014043261753922294,0.0,-2.60025788977843,0.0,0.0,-2.037643038318207,0.7264890396946614,0.5277863247964714,0.007404493670886076
drop,569.477264635631,80.0,0.5494171092721926,32.4444009001086,0.8550081304213075,5.739778495267191,8.887229319202214,0.23112556708836876,butter,2.356757653562871,0.49,0.24074999999999996,-0.00012658227848101277,0.24,0.0,labeled_acce_data\data_butter_shelf_wood_drop10017.csv,0.22,0.27,1097.560975609756,wood,-0.18123049646345368,923.9965533027464,0.08604936763792094,14,19.0,9.500216906514394,2.8810600509120583,1.4800026393862935,-0.07020702992660127,-0.014043261753922294,0.0,-2.60025788977843,0.0,0.0,-2.037643038318207,0.7264890396946614,0.5277863247964714,0.007404493670886076
drop,955.0557684632356,140.0,0.3818336256603401,61.23423087548031,5.552525238555544,7.812965087420146,311.24572604607937,0.44250064647933635,butter,4.873592331804937,2.81,1.075214285714285,0.00035971223021582604,1.03,0.0,labeled_acce_data\data_butter_shelf_wood_drop10021.csv,0.955,1.12,2323.943661971831,wood,1.2012569211820405,1217.9299408550442,0.40901613459080216,18,34.0,6.440964265383975,14.241029876596322,7.5880124176366595,-0.13361674174639138,-0.07020993756864358,0.0,-9.239279181985305,0.0,0.0,-0.7953550518566289,2.554143770147863,6.523650398585141,0.1672941983556012
drop,955.0557684632356,140.0,0.3818336256603401,61.23423087548031,5.552525238555544,7.812965087420146,311.24572604607937,0.44250064647933635,butter,4.873592331804937,2.81,1.075214285714285,0.00035971223021582604,1.03,0.0,labeled_acce_data\data_butter_shelf_wood_drop10022.csv,0.955,1.12,2323.943661971831,wood,1.2012569211820405,1217.9299408550442,0.40901613459080216,18,34.0,6.440964265383975,14.241029876596322,7.5880124176366595,-0.13361674174639138,-0.07020993756864358,0.0,-9.239279181985305,0.0,0.0,-0.7953550518566289,2.554143770147863,6.523650398585141,0.1672941983556012
