shelf_type,item,kurtosis,maximum,mean,mean_diff,median,minimum,percentile_25,percentile_75,skewness,standard_dev,variance,count,action
wood,butter,25.382554017230355,1.5775,0.0002763650563363193,-4.2552173361068196e-07,0.000359,-1.5133,-0.006268999999999999,0.00664525,0.3708105910292881,0.22749139986287792,0.05175233701157181,102400.0,drop
wood,butter,10.101248705644695,1.615,0.00034248098579824505,5.539116592935722e-08,0.000277,-1.7067,-0.00632025,0.006083,0.09466914342879337,0.3881206646920673,0.15063765036101212,102400.0,drop
wood,butter,31.57424280271416,1.5891,0.00028372354244824577,1.7414232560864597e-07,0.0003925,-1.5172,-0.00828,0.009636,-0.017718711918571495,0.230494594724293,0.05312775819711608,102400.0,drop
wood,butter,73.81511025841205,1.5753,0.0002672343410836031,4.4609810642682946e-08,0.00015,-1.4980000000000002,-0.0044859999999999995,0.004848,0.5735788015564157,0.14185129272637054,0.020121789248142466,102400.0,drop
wood,butter,23.346272052088736,1.7262,0.00036549552370508345,3.0371390345614653e-09,0.00018,-1.6677,-0.0103145,0.01109075,0.16625810536980634,0.26943937262988676,0.07259757552318698,102400.0,drop
wood,butter,17.002829698429053,1.6178,0.0001534859660317289,6.18267756521011e-08,0.0005675,-1.7066,-0.019879,0.019112,0.07018997858320043,0.32055723752160425,0.1027569425274822,102400.0,drop
wood,butter,0.2842838776503833,0.043673000000000003,0.0002987426268499041,1.90656158751539e-07,0.0001695,-0.03913,-0.0068102499999999995,0.0074010000000000005,0.03765232559761883,0.010556203202427963,0.0001114334260509504,102400.0,noise
wood,butter,2.5303369529473434,0.07428,0.00029749003696982485,-2.1880096485317084e-07,6.931e-05,-0.062405999999999996,-0.005562,0.005836249999999999,0.16476853122810264,0.014191560333103002,0.00020140038468810262,102400.0,noise
wood,butter,0.48876208454535996,0.15606,0.00017827951156855444,-1.599820310745166e-07,0.000429,-0.11567999999999999,-0.021766999999999998,0.02197925,0.07228524150140803,0.03493812357548673,0.0012206724789759816,102400.0,noise
wood,butter,5.801739499570887,0.091547,0.00029511040556181586,1.3727673121807837e-07,0.0002255,-0.07775599999999999,-0.0052369999999999995,0.005886,0.1122003314928902,0.012066272543852782,0.00014559493310253548,102400.0,noise
wood,butter,39.10641069328997,1.0341,0.00030126211563642454,-6.888739147843166e-08,0.00033,-1.3841,-0.0024,0.003093,-1.6358243019263483,0.10279029380282499,0.010565844500071081,102400.0,pickup
wood,butter,59.577801051033134,1.5625,0.00028247436210547745,1.3408334065762299e-08,0.00031600000000000004,-1.4652,-0.0033652499999999998,0.0041,0.5558820324758037,0.14026354807241487,0.019673862917862633,102400.0,pickup
wood,butter,12.41588418062335,0.50532,0.00028268711564062614,-8.493247004364976e-08,0.00045299999999999995,-0.51869,-0.012423,0.013054,0.14412576733827134,0.07201442024255146,0.005186076722870805,102400.0,pickup
wood,butter,39.422563184043696,0.50752,0.00029761542399531514,7.233469076846473e-08,0.00022999999999999998,-0.66728,-0.006599,0.0072829999999999995,-0.829184500143929,0.056594349058204686,0.0032029203453219136,102400.0,pickup
wood,butter,65.75976836413577,1.0026,0.00027316311003408133,-5.135987656129675e-07,0.000202,-1.1267,-0.008621,0.008820249999999998,-0.09277831481573674,0.08064596977150029,0.006503772440385739,102400.0,pickup
wood,butter,15.214804397146848,0.52681,0.00027351741765282924,2.2935770857137466e-07,0.0006594999999999999,-0.88364,-0.016937,0.017242,-0.5810215929935779,0.09293138759658798,0.008636242800627266,102400.0,pickup
wood,chips,26.1435589212249,1.5616,0.00029545149295234156,-3.0224904540083073e-08,0.000343,-1.4987,-0.005243,0.005635,0.6207475784506672,0.1950549227901862,0.03804642290468551,102400.0,drop
wood,chips,53.59340825875413,1.5714,0.0002810332474625983,5.8848230939749954e-08,0.00023500000000000002,-1.5317,-0.003129,0.0034479999999999997,0.06373298848614396,0.183155830768708,0.03354605834457561,102400.0,drop
wood,chips,67.40827344644381,1.5822,0.00030308566823574243,-1.0258889246965118e-07,0.00022649999999999998,-1.508,-0.006741,0.007097,-0.03609470870684689,0.13112396054944417,0.017193493030172192,102400.0,drop
wood,chips,59.19643892074507,1.5862,0.00028287908171318774,-1.5712653443874913e-09,0.0003825,-1.5086,-0.0046890000000000005,0.005525,0.6133815175151076,0.1689917574504848,0.028558214086203487,102400.0,drop
wood,chips,24.648550049575398,1.5815,0.00028499595178545407,-2.940458402913828e-08,0.0001765,-1.5213,-0.006640000000000001,0.007056999999999999,0.003489980193955012,0.24608423763768958,0.060557452013722875,102400.0,drop
wood,chips,38.18764673646269,1.4861,0.0003195200257468748,4.765671539761109e-08,0.00016849999999999998,-1.4480000000000002,-0.00675625,0.00748925,0.5404863148652644,0.1290667487945676,0.016658225644400015,102400.0,drop
